date,decision,cumulative_savings_usd
2026-05-18,HOLD,-353999.99999999965
2026-05-19,HOLD,-284249.99999999965
2026-05-20,HOLD,-245249.99999999965
2026-05-21,FIX NOW,-245249.99999999965
2026-05-22,HOLD,-149999.99999999965
2026-05-26,FIX NOW,-149999.99999999965
2026-05-27,FIX NOW,-149999.99999999965
2026-05-28,FIX NOW,-149999.99999999965
2026-05-29,FIX NOW,-149999.99999999965
2026-06-01,FIX NOW,-149999.99999999965
2026-06-02,FIX NOW,-149999.99999999965
2026-06-03,FIX NOW,-149999.99999999965
2026-06-04,HOLD,-21749.99999999965
2026-06-05,HOLD,84750.00000000035
2026-06-08,HOLD,177750.00000000035
2026-06-09,HOLD,259500.00000000058
2026-06-10,HOLD,343500.0000000006
2026-06-11,HOLD,395250.00000000047
2026-06-12,FIX NOW,395250.00000000047
2026-06-15,FIX NOW,395250.00000000047
2026-06-16,FIX NOW,395250.00000000047
2026-06-17,FIX NOW,395250.00000000047
2026-06-18,FIX NOW,395250.00000000047
2026-06-22,FIX NOW,395250.00000000047
2026-06-23,FIX NOW,395250.00000000047
2026-06-24,FIX NOW,395250.00000000047
2026-06-25,FIX NOW,395250.00000000047
2026-06-26,FIX NOW,395250.00000000047
2026-06-29,FIX NOW,395250.00000000047
2026-06-30,FIX NOW,395250.00000000047
2026-07-01,FIX NOW,395250.00000000047
2026-07-02,FIX NOW,395250.00000000047
2026-07-06,FIX NOW,395250.00000000047
2026-07-07,FIX NOW,395250.00000000047
2026-07-08,FIX NOW,395250.00000000047
2026-07-09,FIX NOW,395250.00000000047
2026-07-10,FIX NOW,395250.00000000047
2026-07-13,FIX NOW,395250.00000000047
2026-07-14,FIX NOW,395250.00000000047
2026-07-15,FIX NOW,395250.00000000047
2026-07-16,FIX NOW,395250.00000000047
2026-07-17,FIX NOW,395250.00000000047
2026-07-20,FIX NOW,395250.00000000047
2026-07-21,FIX NOW,395250.00000000047
2026-07-22,FIX NOW,395250.00000000047
2026-07-23,HOLD,405000.0000000006
2026-07-24,HOLD,378750.0000000006
2026-07-27,FIX NOW,378750.0000000006
2026-07-28,FIX NOW,378750.0000000006
2026-07-29,FIX NOW,378750.0000000006
2026-07-30,FIX NOW,378750.0000000006
2026-07-31,FIX NOW,378750.0000000006
2026-08-03,FIX NOW,378750.0000000006
2026-08-04,FIX NOW,378750.0000000006
2026-08-05,FIX NOW,378750.0000000006
2026-08-06,FIX NOW,378750.0000000006
2026-08-07,FIX NOW,378750.0000000006
2026-08-10,FIX NOW,378750.0000000006
2026-08-11,FIX NOW,378750.0000000006
2026-08-12,FIX NOW,378750.0000000006
2026-08-13,FIX NOW,378750.0000000006
2026-08-14,FIX NOW,378750.0000000006
